,id,infoid,name,city,wifi,seat,quiet,tasty,cheap,music,url,address,latitude,longitude,limited_time,socket,standing_desk,mrt,open_time,info_id,place_id,formatted_address,business_status,location_lat,location_lng,viewport_ne_lat,viewport_ne_lng,viewport_sw_lat,viewport_sw_lng,compound_code,global_code,rating,user_ratings_total,types,cluster
0,1,8250a1ff-a716-4dcf-8c7d-7d6135e3129b,屋咖人 (假日預約制，無接待4人以上團體）,hualien,5,5,5,5,3,4,https://www.facebook.com/carinacafe/,970花蓮縣花蓮市中興路143號,23.99575900,121.62580310,no,no,no,,,1,ChIJGfYhANuzaTQR5SmqUSF6FFI,351台灣苗栗縣頭份市中華路53巷10號,OPERATIONAL,24.6636041,120.8788488,24.66489302989272,120.8801634798927,24.66219337010728,120.8774638201073,MV7H+CG 頭份市 苗栗縣,7QP2MV7H+CG,4.7,328,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",2
1,2,b6aab84f-a2de-4aa5-9fa6-e188dbe36e5b,珈琲宅（KOHI宅 / 休假日期請見臉書公告）,hualien,4.5,4,5,5,3.5,4.5,https://www.facebook.com/kohi.rejidensu,花蓮縣花蓮市成功街298號,23.97450840,121.60785350,no,no,no,,,2,ChIJabY88-qfaDQRd4oZ2BFhAGc,970台灣花蓮縣花蓮市成功街298號,OPERATIONAL,23.9745564,121.6078106,23.97590692989272,121.6091562298927,23.97320727010727,121.6064565701073,XJF5+R4 花蓮市 花蓮縣,7QM3XJF5+R4,4.8,305,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",2
2,11,fb3cbf38-b7ad-43d0-9453-2451d3a4c7fa,恩典咖啡,hualien,0,0,0,0,0,0,https://www.facebook.com/%E8%8A%B1%E8%93%AE%E6%81%A9%E5%85%B8%E5%92%96%E5%95%A1-748440858570985/?fref=ts,花蓮縣花蓮市民運里中美一街74號,23.99474490,121.63077700,,,,,,11,ChIJVXJ8rIEgZjQRUz2qzC1pKDI,970台灣花蓮縣花蓮市中美一街74號,OPERATIONAL,23.9948324,121.6307978,23.99619952989272,121.6321234798927,23.99349987010728,121.6294238201073,XJVJ+W8 花蓮市 花蓮縣,7QM3XJVJ+W8,4.6,54,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",3
3,12,c451e1c0-2f8c-4cbe-a038-5e89f98c2781,吉野咖啡--巷仔內私藏的自烘咖啡店,hualien,5,5,5,5,5,3,https://www.coffeeman.com.tw/,970花蓮縣花蓮市成功街206號,23.97301980,121.60559400,,,no,,,12,ChIJ5yt3LeufaDQRGfUEVg_Us04,970台灣花蓮縣花蓮市成功街206號,OPERATIONAL,23.9730065,121.6055806,23.97439302989272,121.6069002798927,23.97169337010728,121.6042006201073,XJF4+66 花蓮市 花蓮縣,7QM3XJF4+66,4.9,135,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",0
4,13,cb5cf5a7-f45e-49b6-a4fa-14c5bbd00b05,週六郊區咖啡豆專賣店,hualien,0,5,5,5,5,5,週六郊區,花蓮市民權7街22號,23.98830020,121.62253760,no,yes,no,,,13,ChIJ5QktjhGfaDQRA_oA-nPCKmc,970台灣花蓮縣花蓮市民權七街22號,OPERATIONAL,23.9882981,121.6225357,23.98961887989272,121.6238595298928,23.98691922010727,121.6211598701073,XJQF+82 花蓮市 花蓮縣,7QM3XJQF+82,4.6,108,"[""cafe"", ""point_of_interest"", ""food"", ""establishment""]",3
5,14,60a3c32c-5011-48c1-8ad0-31e0395a840f,亞瑟的王座 AT Cafe,hualien,0,0,0,0,0,0,https://www.facebook.com/arthursthrone,花蓮市中興路81號,23.99322500,121.62916780,no,yes,no,,,14,ChIJq_-gyCEhZjQRyJ6OmOUj_SM,97061台灣花蓮縣花蓮市中興路81號,OPERATIONAL,23.9932004,121.6291599,23.99461002989272,121.6305629798927,23.99191037010728,121.6278633201073,XJVH+7M 花蓮市 花蓮縣,7QM3XJVH+7M,4.9,47,"[""cafe"", ""store"", ""point_of_interest"", ""food"", ""establishment""]",0
6,17,4ad51905-bee5-4b8f-aea3-1ae74b3bac82,LaLe Caf'e,hualien,5,5,5,5,5,5,,花蓮縣花蓮市中美十一街9號,23.99549250,121.62286930,no,maybe,no,,已歇業,17,ChIJk-ZnYSueaDQRI96KaFSU0n8,970台灣花蓮縣花蓮市中美十一街9號,CLOSED_TEMPORARILY,23.9954235,121.6228641,23.99673062989272,121.6242767798928,23.99403097010728,121.6215771201073,XJWF+54 花蓮市 花蓮縣,7QM3XJWF+54,4.8,84,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",4
7,18,e1af95d8-9d07-483f-86df-56ca0bd1156b,Koukouvagia 咕咕發芽咖啡驛棧,hualien,5,5,4,5,5,5,https://www.facebook.com/koukouvagiacafe/,花蓮縣玉里鎮大同路58號,23.32674060,121.31427020,,maybe,yes,,,18,ChIJAWylgWRqbzQRgdv-FT89I2o,981台灣花蓮縣玉里鎮大同路58號,OPERATIONAL,23.3267406,121.3142702,23.32805972989272,121.3155976798927,23.32536007010728,121.3128980201073,88G7+MP 玉里鎮 花蓮縣,7QM388G7+MP,4.6,309,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",1
